question_id,sample_id,source
52,18,gpt-oss-tokenized-traces.csv
52,19,gpt-oss-tokenized-traces.csv
52,20,gpt-oss-tokenized-traces.csv
52,21,gpt-oss-tokenized-traces.csv
52,22,gpt-oss-tokenized-traces.csv
52,23,gpt-oss-tokenized-traces.csv
52,24,gpt-oss-tokenized-traces.csv
52,25,gpt-oss-tokenized-traces.csv
52,26,gpt-oss-tokenized-traces.csv
52,27,gpt-oss-tokenized-traces.csv
52,28,gpt-oss-tokenized-traces.csv
52,29,gpt-oss-tokenized-traces.csv
68,0,gpt-oss-tokenized-traces.csv
68,1,gpt-oss-tokenized-traces.csv
68,2,gpt-oss-tokenized-traces.csv
68,3,gpt-oss-tokenized-traces.csv
68,4,gpt-oss-tokenized-traces.csv
68,5,gpt-oss-tokenized-traces.csv
68,6,gpt-oss-tokenized-traces.csv
68,7,MISSING
68,8,gpt-oss-tokenized-traces.csv
68,9,gpt-oss-tokenized-traces.csv
68,10,gpt-oss-tokenized-traces.csv
68,11,gpt-oss-tokenized-traces.csv
68,12,gpt-oss-tokenized-traces.csv
68,13,gpt-oss-tokenized-traces.csv
68,14,gpt-oss-tokenized-traces.csv
68,15,gpt-oss-tokenized-traces.csv
68,16,MISSING
68,17,gpt-oss-tokenized-traces.csv
68,18,gpt-oss-tokenized-traces.csv
68,19,gpt-oss-tokenized-traces.csv
68,20,gpt-oss-tokenized-traces.csv
68,21,gpt-oss-tokenized-traces.csv
68,22,gpt-oss-tokenized-traces.csv
68,23,gpt-oss-tokenized-traces.csv
68,24,gpt-oss-tokenized-traces.csv
68,25,gpt-oss-tokenized-traces.csv
68,26,MISSING
68,27,gpt-oss-tokenized-traces.csv
68,28,gpt-oss-tokenized-traces.csv
68,29,gpt-oss-tokenized-traces.csv
92,0,gpt-oss-tokenized-traces.csv
92,1,gpt-oss-tokenized-traces.csv
92,2,gpt-oss-tokenized-traces.csv
92,3,gpt-oss-tokenized-traces.csv
92,4,gpt-oss-tokenized-traces.csv
92,5,gpt-oss-tokenized-traces.csv
92,6,gpt-oss-tokenized-traces.csv
92,7,gpt-oss-tokenized-traces.csv
92,8,gpt-oss-tokenized-traces.csv
92,9,MISSING
92,10,gpt-oss-tokenized-traces.csv
92,11,gpt-oss-tokenized-traces.csv
92,12,gpt-oss-tokenized-traces.csv
92,13,gpt-oss-tokenized-traces.csv
92,14,gpt-oss-tokenized-traces.csv
92,15,gpt-oss-tokenized-traces.csv
92,16,gpt-oss-tokenized-traces.csv
92,17,MISSING
92,18,gpt-oss-tokenized-traces.csv
92,19,gpt-oss-tokenized-traces.csv
92,20,gpt-oss-tokenized-traces.csv
92,21,gpt-oss-tokenized-traces.csv
92,22,gpt-oss-tokenized-traces.csv
92,23,gpt-oss-tokenized-traces.csv
92,24,clean_expanded..._gpt-oss-120b_0.csv
92,25,gpt-oss-tokenized-traces.csv
92,26,gpt-oss-tokenized-traces.csv
92,27,gpt-oss-tokenized-traces.csv
92,28,MISSING
92,29,gpt-oss-tokenized-traces.csv
114,0,gpt-oss-tokenized-traces.csv
114,1,gpt-oss-tokenized-traces.csv
114,2,gpt-oss-tokenized-traces.csv
114,3,gpt-oss-tokenized-traces.csv
114,4,gpt-oss-tokenized-traces.csv
114,5,MISSING
114,6,gpt-oss-tokenized-traces.csv
114,7,gpt-oss-tokenized-traces.csv
114,8,gpt-oss-tokenized-traces.csv
114,9,MISSING
114,10,gpt-oss-tokenized-traces.csv
114,11,gpt-oss-tokenized-traces.csv
114,12,gpt-oss-tokenized-traces.csv
114,13,gpt-oss-tokenized-traces.csv
114,14,MISSING
114,15,gpt-oss-tokenized-traces.csv
114,16,gpt-oss-tokenized-traces.csv
114,17,gpt-oss-tokenized-traces.csv
114,18,gpt-oss-tokenized-traces.csv
114,19,gpt-oss-tokenized-traces.csv
114,20,gpt-oss-tokenized-traces.csv
114,21,gpt-oss-tokenized-traces.csv
114,22,MISSING
114,23,gpt-oss-tokenized-traces.csv
114,24,gpt-oss-tokenized-traces.csv
114,25,gpt-oss-tokenized-traces.csv
114,26,gpt-oss-tokenized-traces.csv
114,27,gpt-oss-tokenized-traces.csv
114,28,gpt-oss-tokenized-traces.csv
114,29,gpt-oss-tokenized-traces.csv
120,0,gpt-oss-tokenized-traces.csv
120,1,gpt-oss-tokenized-traces.csv
120,2,gpt-oss-tokenized-traces.csv
120,3,gpt-oss-tokenized-traces.csv
120,4,gpt-oss-tokenized-traces.csv
120,5,gpt-oss-tokenized-traces.csv
120,6,gpt-oss-tokenized-traces.csv
120,7,gpt-oss-tokenized-traces.csv
120,8,MISSING
120,9,gpt-oss-tokenized-traces.csv
120,10,gpt-oss-tokenized-traces.csv
120,11,gpt-oss-tokenized-traces.csv
120,12,gpt-oss-tokenized-traces.csv
120,13,gpt-oss-tokenized-traces.csv
120,14,gpt-oss-tokenized-traces.csv
120,15,gpt-oss-tokenized-traces.csv
120,16,gpt-oss-tokenized-traces.csv
120,17,gpt-oss-tokenized-traces.csv
120,18,MISSING
120,19,gpt-oss-tokenized-traces.csv
120,20,gpt-oss-tokenized-traces.csv
120,21,MISSING
120,22,gpt-oss-tokenized-traces.csv
120,23,gpt-oss-tokenized-traces.csv
120,24,gpt-oss-tokenized-traces.csv
120,25,gpt-oss-tokenized-traces.csv
120,26,gpt-oss-tokenized-traces.csv
120,27,gpt-oss-tokenized-traces.csv
120,28,gpt-oss-tokenized-traces.csv
120,29,gpt-oss-tokenized-traces.csv
150,0,gpt-oss-tokenized-traces.csv
150,1,gpt-oss-tokenized-traces.csv
150,2,gpt-oss-tokenized-traces.csv
150,3,gpt-oss-tokenized-traces.csv
150,4,gpt-oss-tokenized-traces.csv
150,5,gpt-oss-tokenized-traces.csv
150,6,gpt-oss-tokenized-traces.csv
150,7,gpt-oss-tokenized-traces.csv
150,8,MISSING
150,9,gpt-oss-tokenized-traces.csv
150,10,gpt-oss-tokenized-traces.csv
150,11,gpt-oss-tokenized-traces.csv
150,12,MISSING
150,13,gpt-oss-tokenized-traces.csv
150,14,gpt-oss-tokenized-traces.csv
150,15,gpt-oss-tokenized-traces.csv
150,16,gpt-oss-tokenized-traces.csv
150,17,gpt-oss-tokenized-traces.csv
150,18,MISSING
150,19,gpt-oss-tokenized-traces.csv
150,20,gpt-oss-tokenized-traces.csv
150,21,gpt-oss-tokenized-traces.csv
150,22,gpt-oss-tokenized-traces.csv
150,23,gpt-oss-tokenized-traces.csv
150,24,gpt-oss-tokenized-traces.csv
150,25,MISSING
150,26,gpt-oss-tokenized-traces.csv
150,27,gpt-oss-tokenized-traces.csv
150,28,MISSING
150,29,gpt-oss-tokenized-traces.csv
165,0,gpt-oss-tokenized-traces.csv
165,1,gpt-oss-tokenized-traces.csv
165,2,gpt-oss-tokenized-traces.csv
165,3,gpt-oss-tokenized-traces.csv
165,4,gpt-oss-tokenized-traces.csv
165,5,gpt-oss-tokenized-traces.csv
165,6,gpt-oss-tokenized-traces.csv
165,7,gpt-oss-tokenized-traces.csv
165,8,gpt-oss-tokenized-traces.csv
165,9,MISSING
165,10,gpt-oss-tokenized-traces.csv
165,11,gpt-oss-tokenized-traces.csv
165,12,gpt-oss-tokenized-traces.csv
165,13,gpt-oss-tokenized-traces.csv
165,14,gpt-oss-tokenized-traces.csv
165,15,clean_expanded..._gpt-oss-120b_0.csv
165,16,gpt-oss-tokenized-traces.csv
165,17,gpt-oss-tokenized-traces.csv
165,18,gpt-oss-tokenized-traces.csv
165,19,MISSING
165,20,gpt-oss-tokenized-traces.csv
165,21,gpt-oss-tokenized-traces.csv
165,22,gpt-oss-tokenized-traces.csv
165,23,gpt-oss-tokenized-traces.csv
165,24,gpt-oss-tokenized-traces.csv
165,25,gpt-oss-tokenized-traces.csv
165,26,MISSING
165,27,gpt-oss-tokenized-traces.csv
165,28,gpt-oss-tokenized-traces.csv
165,29,gpt-oss-tokenized-traces.csv
167,0,gpt-oss-tokenized-traces.csv
167,1,gpt-oss-tokenized-traces.csv
167,2,gpt-oss-tokenized-traces.csv
167,3,gpt-oss-tokenized-traces.csv
167,4,gpt-oss-tokenized-traces.csv
167,5,gpt-oss-tokenized-traces.csv
167,6,gpt-oss-tokenized-traces.csv
167,7,gpt-oss-tokenized-traces.csv
167,8,gpt-oss-tokenized-traces.csv
167,9,gpt-oss-tokenized-traces.csv
167,10,MISSING
167,11,gpt-oss-tokenized-traces.csv
167,12,gpt-oss-tokenized-traces.csv
167,13,gpt-oss-tokenized-traces.csv
167,14,clean_expanded..._gpt-oss-120b_0.csv
167,15,gpt-oss-tokenized-traces.csv
167,16,gpt-oss-tokenized-traces.csv
167,17,gpt-oss-tokenized-traces.csv
167,18,gpt-oss-tokenized-traces.csv
167,19,gpt-oss-tokenized-traces.csv
167,20,gpt-oss-tokenized-traces.csv
167,21,gpt-oss-tokenized-traces.csv
167,22,gpt-oss-tokenized-traces.csv
167,23,gpt-oss-tokenized-traces.csv
167,24,gpt-oss-tokenized-traces.csv
167,25,gpt-oss-tokenized-traces.csv
167,26,gpt-oss-tokenized-traces.csv
167,27,gpt-oss-tokenized-traces.csv
167,28,gpt-oss-tokenized-traces.csv
167,29,gpt-oss-tokenized-traces.csv
169,0,gpt-oss-tokenized-traces.csv
169,1,gpt-oss-tokenized-traces.csv
169,2,gpt-oss-tokenized-traces.csv
169,3,gpt-oss-tokenized-traces.csv
169,4,gpt-oss-tokenized-traces.csv
169,5,gpt-oss-tokenized-traces.csv
169,6,gpt-oss-tokenized-traces.csv
169,7,gpt-oss-tokenized-traces.csv
169,8,gpt-oss-tokenized-traces.csv
169,9,gpt-oss-tokenized-traces.csv
169,10,gpt-oss-tokenized-traces.csv
169,11,gpt-oss-tokenized-traces.csv
169,12,gpt-oss-tokenized-traces.csv
169,13,gpt-oss-tokenized-traces.csv
169,14,gpt-oss-tokenized-traces.csv
169,15,gpt-oss-tokenized-traces.csv
169,16,gpt-oss-tokenized-traces.csv
169,17,gpt-oss-tokenized-traces.csv
169,18,gpt-oss-tokenized-traces.csv
169,19,gpt-oss-tokenized-traces.csv
169,20,gpt-oss-tokenized-traces.csv
169,21,gpt-oss-tokenized-traces.csv
169,22,gpt-oss-tokenized-traces.csv
169,23,gpt-oss-tokenized-traces.csv
169,24,gpt-oss-tokenized-traces.csv
169,25,gpt-oss-tokenized-traces.csv
169,26,gpt-oss-tokenized-traces.csv
169,27,gpt-oss-tokenized-traces.csv
169,28,MISSING
169,29,gpt-oss-tokenized-traces.csv
172,0,clean_expanded..._gpt-oss-120b_0.csv
172,1,clean_expanded..._gpt-oss-120b_0.csv
172,2,gpt-oss-tokenized-traces.csv
172,3,MISSING
172,4,gpt-oss-tokenized-traces.csv
172,5,clean_expanded..._gpt-oss-120b_0.csv
172,6,clean_expanded..._gpt-oss-120b_0.csv
172,7,gpt-oss-tokenized-traces.csv
172,8,gpt-oss-tokenized-traces.csv
172,9,clean_expanded..._gpt-oss-120b_0.csv
172,10,clean_expanded..._gpt-oss-120b_0.csv
172,11,gpt-oss-tokenized-traces.csv
172,12,gpt-oss-tokenized-traces.csv
172,13,gpt-oss-tokenized-traces.csv
172,14,clean_expanded..._gpt-oss-120b_0.csv
172,15,gpt-oss-tokenized-traces.csv
172,16,clean_expanded..._gpt-oss-120b_0.csv
172,17,gpt-oss-tokenized-traces.csv
172,18,gpt-oss-tokenized-traces.csv
172,19,gpt-oss-tokenized-traces.csv
172,20,gpt-oss-tokenized-traces.csv
172,21,gpt-oss-tokenized-traces.csv
172,22,clean_expanded..._gpt-oss-120b_0.csv
172,23,gpt-oss-tokenized-traces.csv
172,24,gpt-oss-tokenized-traces.csv
172,25,gpt-oss-tokenized-traces.csv
172,26,gpt-oss-tokenized-traces.csv
172,27,gpt-oss-tokenized-traces.csv
172,28,clean_expanded..._gpt-oss-120b_0.csv
172,29,gpt-oss-tokenized-traces.csv
183,0,gpt-oss-tokenized-traces.csv
183,1,gpt-oss-tokenized-traces.csv
183,2,gpt-oss-tokenized-traces.csv
183,3,gpt-oss-tokenized-traces.csv
183,4,gpt-oss-tokenized-traces.csv
183,5,gpt-oss-tokenized-traces.csv
183,6,gpt-oss-tokenized-traces.csv
183,7,gpt-oss-tokenized-traces.csv
183,8,gpt-oss-tokenized-traces.csv
183,9,gpt-oss-tokenized-traces.csv
183,10,gpt-oss-tokenized-traces.csv
183,11,gpt-oss-tokenized-traces.csv
183,12,gpt-oss-tokenized-traces.csv
183,13,gpt-oss-tokenized-traces.csv
183,14,gpt-oss-tokenized-traces.csv
183,15,gpt-oss-tokenized-traces.csv
183,16,gpt-oss-tokenized-traces.csv
183,17,gpt-oss-tokenized-traces.csv
183,18,gpt-oss-tokenized-traces.csv
183,19,gpt-oss-tokenized-traces.csv
183,20,gpt-oss-tokenized-traces.csv
183,21,gpt-oss-tokenized-traces.csv
183,22,gpt-oss-tokenized-traces.csv
183,23,gpt-oss-tokenized-traces.csv
183,24,gpt-oss-tokenized-traces.csv
183,25,gpt-oss-tokenized-traces.csv
183,26,gpt-oss-tokenized-traces.csv
183,27,clean_expanded..._gpt-oss-120b_0.csv
183,28,gpt-oss-tokenized-traces.csv
183,29,gpt-oss-tokenized-traces.csv
185,0,gpt-oss-tokenized-traces.csv
185,1,gpt-oss-tokenized-traces.csv
185,2,gpt-oss-tokenized-traces.csv
185,3,gpt-oss-tokenized-traces.csv
185,4,gpt-oss-tokenized-traces.csv
185,5,gpt-oss-tokenized-traces.csv
185,6,gpt-oss-tokenized-traces.csv
185,7,gpt-oss-tokenized-traces.csv
185,8,gpt-oss-tokenized-traces.csv
185,9,gpt-oss-tokenized-traces.csv
185,10,MISSING
185,11,gpt-oss-tokenized-traces.csv
185,12,gpt-oss-tokenized-traces.csv
185,13,gpt-oss-tokenized-traces.csv
185,14,MISSING
185,15,gpt-oss-tokenized-traces.csv
185,16,gpt-oss-tokenized-traces.csv
185,17,gpt-oss-tokenized-traces.csv
185,18,gpt-oss-tokenized-traces.csv
185,19,gpt-oss-tokenized-traces.csv
185,20,gpt-oss-tokenized-traces.csv
185,21,MISSING
185,22,gpt-oss-tokenized-traces.csv
185,23,gpt-oss-tokenized-traces.csv
185,24,gpt-oss-tokenized-traces.csv
185,25,MISSING
185,26,gpt-oss-tokenized-traces.csv
185,27,gpt-oss-tokenized-traces.csv
185,28,gpt-oss-tokenized-traces.csv
185,29,gpt-oss-tokenized-traces.csv
189,0,gpt-oss-tokenized-traces.csv
189,1,clean_expanded..._gpt-oss-120b_0.csv
189,2,MISSING
189,3,gpt-oss-tokenized-traces.csv
189,4,gpt-oss-tokenized-traces.csv
189,5,MISSING
189,6,clean_expanded..._gpt-oss-120b_0.csv
189,7,gpt-oss-tokenized-traces.csv
189,8,MISSING
189,9,clean_expanded..._gpt-oss-120b_0.csv
189,10,gpt-oss-tokenized-traces.csv
189,11,gpt-oss-tokenized-traces.csv
189,12,gpt-oss-tokenized-traces.csv
189,13,gpt-oss-tokenized-traces.csv
189,14,gpt-oss-tokenized-traces.csv
189,15,MISSING
189,16,gpt-oss-tokenized-traces.csv
189,17,clean_expanded..._gpt-oss-120b_0.csv
189,18,MISSING
189,19,gpt-oss-tokenized-traces.csv
189,20,clean_expanded..._gpt-oss-120b_0.csv
189,21,gpt-oss-tokenized-traces.csv
189,22,gpt-oss-tokenized-traces.csv
189,23,gpt-oss-tokenized-traces.csv
189,24,MISSING
189,25,clean_expanded..._gpt-oss-120b_0.csv
189,26,clean_expanded..._gpt-oss-120b_0.csv
189,27,gpt-oss-tokenized-traces.csv
189,28,gpt-oss-tokenized-traces.csv
189,29,gpt-oss-tokenized-traces.csv
