question_id,sample_id,attempt_index,is_correct,trace_length,success_signal,failure_signal,net_signal,top_success_motifs,top_failure_motifs,top_success_steps,top_failure_steps,critical_steps_for_observed_outcome,reasoning_trace
5,10,31,True,23,145.397458,0.000000,145.397458,"analyze|compute (count=4, score=22.398, p_success=0.747, p_fail=0.253) || compute|apply-formula (count=4, score=16.528, p_success=0.762, p_fail=0.238) || instantiate|analyze (count=2, score=9.194, p_success=0.723, p_fail=0.277) || apply-formula|analyze (count=2, score=8.264, p_success=0.762, p_fail=0.238) || instantiate|analyze|compute (count=2, score=8.117, p_success=0.724, p_fail=0.276)",,compute (107.909) || analyze (98.418) || apply-formula (72.573) || instantiate (60.264) || rewrite (18.313),,compute (107.909) || analyze (98.418) || apply-formula (72.573) || instantiate (60.264) || rewrite (18.313),instantiate|analyze|compute|apply-formula|instantiate|apply-formula|compute|apply-formula|instantiate|compute|apply-formula|analyze|instantiate|analyze|compute|apply-formula|backtrack|apply-formula|analyze|compute|rewrite|analyze|compute
5,11,32,True,18,96.747019,0.464014,96.283005,"compute|apply-formula (count=3, score=12.396, p_success=0.762, p_fail=0.238) || instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || instantiate|compute|apply-formula (count=2, score=6.889, p_success=0.773, p_fail=0.227) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257)","instantiate|conclude|compute (count=1, score=0.464, p_success=0.429, p_fail=0.571)",compute (78.414) || instantiate (51.682) || apply-formula (51.490) || analyze (48.305) || rewrite (11.131),instantiate (0.464) || conclude (0.464) || compute (0.464),compute (78.414) || instantiate (51.682) || apply-formula (51.490) || analyze (48.305) || rewrite (11.131),compute|analyze|instantiate|compute|apply-formula|instantiate|compute|apply-formula|analyze|backtrack|apply-formula|instantiate|conclude|compute|apply-formula|rewrite|analyze|compute
5,12,33,False,19,120.652445,1.167915,119.484530,"instantiate|compute (count=3, score=14.213, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=3, score=12.396, p_success=0.762, p_fail=0.238) || analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257) || analyze|instantiate|compute (count=2, score=7.581, p_success=0.709, p_fail=0.291) || instantiate|compute|apply-formula (count=2, score=6.889, p_success=0.773, p_fail=0.227)","backtrack|instantiate (count=1, score=1.168, p_success=0.364, p_fail=0.636)",compute (101.648) || instantiate (80.653) || analyze (64.318) || apply-formula (51.418) || conclude (8.303),backtrack (1.168) || instantiate (1.168),backtrack (1.168) || instantiate (1.168),compute|analyze|instantiate|compute|apply-formula|backtrack|instantiate|analyze|compute|conclude|compute|apply-formula|analyze|instantiate|compute|apply-formula|instantiate|compute|check-constraint
5,13,38,True,20,133.380895,0.000000,133.380895,"instantiate|compute (count=3, score=14.213, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=3, score=12.396, p_success=0.762, p_fail=0.238) || analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || apply-formula|instantiate|compute (count=2, score=5.972, p_success=0.750, p_fail=0.250) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257)",,compute (122.153) || analyze (67.914) || instantiate (62.338) || apply-formula (49.942) || rewrite (25.669),,compute (122.153) || analyze (67.914) || instantiate (62.338) || apply-formula (49.942) || rewrite (25.669),compute|apply-formula|analyze|instantiate|compute|apply-formula|instantiate|compute|conclude|rewrite|compute|apply-formula|instantiate|compute|rewrite|analyze|compute|check-constraint|analyze|compute
11,0,0,False,22,161.522942,2.137801,159.385141,"analyze|case-split (count=2, score=12.606, p_success=0.893, p_fail=0.107) || case-split|count (count=2, score=11.239, p_success=0.900, p_fail=0.100) || analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257) || compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || instantiate|analyze (count=2, score=9.194, p_success=0.723, p_fail=0.277)","check-constraint|apply-formula (count=1, score=2.138, p_success=0.167, p_fail=0.833)",analyze (156.978) || case-split (68.157) || compute (65.489) || instantiate (61.300) || count (52.738),check-constraint (2.138) || apply-formula (2.138),check-constraint (2.138) || apply-formula (2.138),count|analyze|instantiate|analyze|compute|analyze|instantiate|analyze|case-split|count|check-constraint|apply-formula|count|case-split|compute|case-split|analyze|count|compute|analyze|case-split|count
11,1,2,True,19,137.033514,0.000000,137.033514,"analyze|case-split (count=2, score=12.606, p_success=0.893, p_fail=0.107) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || analyze|check-constraint (count=2, score=10.341, p_success=0.787, p_fail=0.213) || count|analyze (count=2, score=9.598, p_success=0.787, p_fail=0.213) || count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077)",,analyze (113.206) || case-split (66.287) || count (56.410) || compute (32.534) || check-constraint (21.844),,analyze (113.206) || case-split (66.287) || count (56.410) || compute (32.534) || check-constraint (21.844),count|analyze|instantiate|count|analyze|compute|analyze|case-split|analyze|check-constraint|case-split|analyze|check-constraint|conclude|analyze|case-split|count|case-split|compute
11,2,3,True,19,141.079587,0.000000,141.079587,"analyze|instantiate (count=3, score=15.595, p_success=0.743, p_fail=0.257) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || instantiate|check-constraint (count=2, score=7.852, p_success=0.740, p_fail=0.260) || count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077) || case-split|analyze|instantiate (count=2, score=6.927, p_success=0.889, p_fail=0.111)",,analyze (110.405) || instantiate (62.971) || case-split (54.416) || compute (53.390) || count (30.293),,analyze (110.405) || instantiate (62.971) || case-split (54.416) || compute (53.390) || count (30.293),count|analyze|compute|analyze|instantiate|compute|compare|case-split|analyze|instantiate|check-constraint|case-split|analyze|instantiate|check-constraint|analyze|case-split|count|case-split
11,3,4,True,29,220.960267,0.000000,220.960267,"count|case-split (count=2, score=13.976, p_success=0.923, p_fail=0.077) || analyze|case-split (count=2, score=12.606, p_success=0.893, p_fail=0.107) || compute|count|case-split (count=2, score=11.500, p_success=1.000, p_fail=0.000) || case-split|count (count=2, score=11.239, p_success=0.900, p_fail=0.100) || count|analyze|instantiate (count=2, score=10.975, p_success=0.875, p_fail=0.125)",,analyze (124.921) || count (100.071) || case-split (86.759) || instantiate (84.157) || compute (78.368),,analyze (124.921) || count (100.071) || case-split (86.759) || instantiate (84.157) || compute (78.368),count|analyze|instantiate|analyze|count|analyze|instantiate|analyze|case-split|instantiate|check-constraint|compute|compare|conclude|case-split|instantiate|check-constraint|compute|analyze|case-split|count|compute|count|case-split|count|compute|count|case-split|compute
11,4,5,True,31,195.380606,0.000000,195.380606,"analyze|instantiate (count=3, score=15.595, p_success=0.743, p_fail=0.257) || analyze|case-split (count=2, score=12.606, p_success=0.893, p_fail=0.107) || case-split|compute (count=3, score=12.245, p_success=0.800, p_fail=0.200) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || compute|case-split (count=2, score=9.546, p_success=0.806, p_fail=0.194)",,analyze (110.147) || case-split (99.334) || compute (87.497) || count (58.211) || instantiate (56.375),,analyze (110.147) || case-split (99.334) || compute (87.497) || count (58.211) || instantiate (56.375),count|analyze|instantiate|compute|analyze|case-split|analyze|instantiate|check-constraint|compare|conclude|case-split|analyze|instantiate|check-constraint|compare|analyze|case-split|count|case-split|compute|count|compute|case-split|compute|count|compute|case-split|compute|analyze|count
11,5,6,True,23,171.956454,1.030913,170.925541,"analyze|compute (count=4, score=22.398, p_success=0.747, p_fail=0.253) || count|analyze (count=2, score=9.598, p_success=0.787, p_fail=0.213) || compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || instantiate|analyze (count=2, score=9.194, p_success=0.723, p_fail=0.277) || analyze|count (count=3, score=8.253, p_success=0.697, p_fail=0.303)","analyze|compute|analyze|count (count=1, score=0.515, p_success=0.400, p_fail=0.600) || instantiate|analyze|compute|check-constraint (count=1, score=0.515, p_success=0.400, p_fail=0.600)",analyze (182.718) || compute (118.139) || count (77.402) || instantiate (47.556) || check-constraint (35.319),analyze (1.546) || compute (1.031) || count (0.515) || instantiate (0.515) || check-constraint (0.515),analyze (182.718) || compute (118.139) || count (77.402) || instantiate (47.556) || check-constraint (35.319),count|analyze|compute|analyze|count|instantiate|analyze|compute|check-constraint|analyze|compute|check-constraint|analyze|count|analyze|instantiate|analyze|compute|count|compute|analyze|count|compute
11,6,7,True,14,114.956776,0.000000,114.956776,"analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257) || instantiate|analyze (count=2, score=9.194, p_success=0.723, p_fail=0.277) || analyze|instantiate|analyze (count=2, score=8.336, p_success=0.750, p_fail=0.250) || count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077) || analyze|case-split (count=1, score=6.303, p_success=0.893, p_fail=0.107)",,analyze (122.573) || instantiate (61.300) || compute (46.931) || count (39.063) || case-split (31.903),,analyze (122.573) || instantiate (61.300) || compute (46.931) || count (39.063) || case-split (31.903),count|analyze|instantiate|analyze|compute|analyze|instantiate|analyze|case-split|count|apply-formula|compute|count|case-split
11,7,8,True,14,83.731158,0.000000,83.731158,"conclude|analyze (count=1, score=5.885, p_success=0.857, p_fail=0.143) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257) || analyze|compute|analyze (count=1, score=5.183, p_success=0.772, p_fail=0.228) || analyze|check-constraint (count=1, score=5.170, p_success=0.787, p_fail=0.213)",,analyze (88.153) || compute (44.772) || instantiate (27.610) || count (21.728) || check-constraint (14.536),,analyze (88.153) || compute (44.772) || instantiate (27.610) || count (21.728) || check-constraint (14.536),count|analyze|compute|analyze|instantiate|analyze|check-constraint|conclude|analyze|count|apply-formula|compute|count|compute
11,8,9,True,22,135.858873,0.000000,135.858873,"analyze|instantiate (count=4, score=20.794, p_success=0.743, p_fail=0.257) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || instantiate|check-constraint (count=2, score=7.852, p_success=0.740, p_fail=0.260) || analyze|instantiate|compute (count=2, score=7.581, p_success=0.709, p_fail=0.291)",,analyze (98.673) || instantiate (82.391) || compute (50.829) || case-split (45.345) || check-constraint (19.141),,analyze (98.673) || instantiate (82.391) || compute (50.829) || case-split (45.345) || check-constraint (19.141),count|analyze|instantiate|compute|analyze|instantiate|compute|case-split|analyze|instantiate|check-constraint|compare|case-split|analyze|instantiate|check-constraint|compare|analyze|case-split|apply-formula|count|case-split
11,9,10,True,27,148.101320,1.212012,146.889308,"count|case-split (count=2, score=13.976, p_success=0.923, p_fail=0.077) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257) || instantiate|check-constraint (count=2, score=7.852, p_success=0.740, p_fail=0.260) || case-split|instantiate (count=2, score=7.317, p_success=0.846, p_fail=0.154)","analyze|apply-formula (count=2, score=1.212, p_success=0.455, p_fail=0.545)",analyze (83.752) || case-split (79.600) || instantiate (76.408) || count (51.129) || check-constraint (28.249),analyze (1.212) || apply-formula (1.212),analyze (83.752) || case-split (79.600) || instantiate (76.408) || count (51.129) || check-constraint (28.249),count|analyze|instantiate|analyze|compute|instantiate|case-split|analyze|instantiate|count|case-split|instantiate|check-constraint|conclude|case-split|instantiate|check-constraint|case-split|analyze|apply-formula|case-split|count|case-split|check-constraint|analyze|apply-formula|count
11,10,11,True,33,209.510112,0.268956,209.241156,"count|case-split (count=2, score=13.976, p_success=0.923, p_fail=0.077) || case-split|compute (count=3, score=12.245, p_success=0.800, p_fail=0.200) || analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || count|analyze|instantiate (count=2, score=10.975, p_success=0.875, p_fail=0.125) || analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257)","analyze|compute|instantiate|compute (count=1, score=0.269, p_success=0.476, p_fail=0.524)",analyze (145.601) || compute (109.425) || count (85.541) || case-split (78.215) || instantiate (55.908),compute (0.538) || analyze (0.269) || instantiate (0.269),analyze (145.601) || compute (109.425) || count (85.541) || case-split (78.215) || instantiate (55.908),count|analyze|instantiate|analyze|backtrack|analyze|compute|instantiate|compute|analyze|count|analyze|instantiate|case-split|compute|check-constraint|case-split|compute|analyze|case-split|compute|apply-formula|count|case-split|count|compute|count|case-split|check-constraint|analyze|compute|count|check-constraint
11,11,12,True,17,138.793733,0.000000,138.793733,"analyze|instantiate (count=3, score=15.595, p_success=0.743, p_fail=0.257) || count|analyze|instantiate (count=2, score=10.975, p_success=0.875, p_fail=0.125) || count|analyze (count=2, score=9.598, p_success=0.787, p_fail=0.213) || compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || check-constraint|compute (count=2, score=9.157, p_success=0.744, p_fail=0.256)",,analyze (111.433) || instantiate (74.356) || compute (70.575) || count (55.933) || check-constraint (50.201),,analyze (111.433) || instantiate (74.356) || compute (70.575) || count (55.933) || check-constraint (50.201),count|analyze|instantiate|analyze|count|analyze|instantiate|check-constraint|compute|count|compute|analyze|instantiate|check-constraint|compute|analyze|count
11,12,13,True,20,146.230236,0.268956,145.961280,"analyze|instantiate (count=3, score=15.595, p_success=0.743, p_fail=0.257) || case-split|analyze (count=2, score=11.941, p_success=0.871, p_fail=0.129) || count|analyze (count=2, score=9.598, p_success=0.787, p_fail=0.213) || instantiate|check-constraint (count=2, score=7.852, p_success=0.740, p_fail=0.260) || case-split|analyze|instantiate (count=2, score=6.927, p_success=0.889, p_fail=0.111)","analyze|compute|instantiate|compute (count=1, score=0.269, p_success=0.476, p_fail=0.524)",analyze (124.293) || instantiate (73.244) || case-split (53.041) || count (41.339) || compute (38.362),compute (0.538) || analyze (0.269) || instantiate (0.269),analyze (124.293) || instantiate (73.244) || case-split (53.041) || count (41.339) || compute (38.362),count|analyze|instantiate|analyze|count|analyze|compute|instantiate|compute|case-split|analyze|instantiate|check-constraint|case-split|analyze|instantiate|check-constraint|analyze|case-split|count
11,13,14,True,14,81.776084,0.606006,81.170078,"count|analyze (count=2, score=9.598, p_success=0.787, p_fail=0.213) || count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077) || compute|count (count=2, score=6.595, p_success=0.708, p_fail=0.292) || conclude|analyze (count=1, score=5.885, p_success=0.857, p_fail=0.143) || compute|count|case-split (count=1, score=5.750, p_success=1.000, p_fail=0.000)","analyze|apply-formula (count=1, score=0.606, p_success=0.455, p_fail=0.545)",compute (47.270) || analyze (44.637) || count (43.497) || case-split (23.767) || instantiate (22.260),analyze (0.606) || apply-formula (0.606),compute (47.270) || analyze (44.637) || count (43.497) || case-split (23.767) || instantiate (22.260),count|analyze|instantiate|compute|case-split|conclude|analyze|apply-formula|compute|count|analyze|compute|count|case-split
11,14,15,True,10,71.454048,0.000000,71.454048,"count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077) || analyze|case-split (count=1, score=6.303, p_success=0.893, p_fail=0.107) || conclude|analyze (count=1, score=5.885, p_success=0.857, p_fail=0.143) || compute|count|case-split (count=1, score=5.750, p_success=1.000, p_fail=0.000) || count|analyze|instantiate (count=1, score=5.487, p_success=0.875, p_fail=0.125)",,analyze (61.833) || count (29.980) || case-split (26.586) || instantiate (24.751) || compute (16.592),,analyze (61.833) || count (29.980) || case-split (26.586) || instantiate (24.751) || compute (16.592),count|analyze|instantiate|analyze|conclude|analyze|case-split|compute|count|case-split
11,15,16,True,15,101.789871,0.000000,101.789871,"instantiate|check-constraint (count=2, score=7.852, p_success=0.740, p_fail=0.260) || case-split|instantiate (count=2, score=7.317, p_success=0.846, p_fail=0.154) || count|case-split (count=1, score=6.988, p_success=0.923, p_fail=0.077) || analyze|case-split (count=1, score=6.303, p_success=0.893, p_fail=0.107) || case-split|count (count=1, score=5.620, p_success=0.900, p_fail=0.100)",,analyze (71.532) || instantiate (46.655) || case-split (42.778) || count (38.666) || compute (28.329),,analyze (71.532) || instantiate (46.655) || case-split (42.778) || count (38.666) || compute (28.329),count|analyze|compute|analyze|instantiate|count|case-split|instantiate|check-constraint|case-split|instantiate|check-constraint|analyze|case-split|count
11,16,17,True,22,161.425576,0.606006,160.819571,"case-split|analyze (count=3, score=17.912, p_success=0.871, p_fail=0.129) || count|case-split (count=2, score=13.976, p_success=0.923, p_fail=0.077) || compute|count|case-split (count=2, score=11.500, p_success=1.000, p_fail=0.000) || analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || compute|case-split|analyze (count=2, score=10.735, p_success=0.895, p_fail=0.105)","analyze|apply-formula (count=1, score=0.606, p_success=0.455, p_fail=0.545)",compute (107.694) || analyze (100.452) || case-split (98.786) || count (44.962) || instantiate (39.003),analyze (0.606) || apply-formula (0.606),compute (107.694) || analyze (100.452) || case-split (98.786) || count (44.962) || instantiate (39.003),count|analyze|instantiate|compute|analyze|instantiate|case-split|analyze|compute|case-split|analyze|compute|case-split|analyze|apply-formula|case-split|compute|count|case-split|compute|count|case-split
