token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
rewrite,252,30,20,0.6666666666666666,20,10,0.7,0.6,0.09999999999999998
rewrite,172,19,18,0.9473684210526315,17,2,1.0,0.5,0.5
rewrite,49,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
rewrite,291,26,20,0.7692307692307693,21,5,0.9047619047619048,0.2,0.7047619047619047
rewrite,348,29,25,0.8620689655172413,26,3,0.9230769230769231,0.3333333333333333,0.5897435897435899
rewrite,150,25,2,0.08,2,23,0.5,0.043478260869565216,0.4565217391304348
rewrite,185,26,24,0.9230769230769231,15,11,1.0,0.8181818181818182,0.18181818181818177
rewrite,214,24,1,0.041666666666666664,21,3,0.0,0.3333333333333333,-0.3333333333333333
rewrite,279,20,7,0.35,1,19,1.0,0.3157894736842105,0.6842105263157895
rewrite,226,29,21,0.7241379310344828,19,10,0.7894736842105263,0.6,0.18947368421052635
rewrite,68,27,17,0.6296296296296297,23,4,0.6086956521739131,0.75,-0.14130434782608692
rewrite,224,6,2,0.3333333333333333,2,4,0.5,0.25,0.25
simplify,169,29,26,0.896551724137931,20,9,1.0,0.6666666666666666,0.33333333333333337
simplify,183,29,26,0.896551724137931,28,1,0.9285714285714286,0.0,0.9285714285714286
simplify,45,25,23,0.92,22,3,1.0,0.3333333333333333,0.6666666666666667
simplify,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
simplify,167,28,26,0.9285714285714286,18,10,1.0,0.8,0.19999999999999996
simplify,189,17,1,0.058823529411764705,7,10,0.0,0.1,-0.1
simplify,252,30,20,0.6666666666666666,26,4,0.7307692307692307,0.25,0.4807692307692307
simplify,165,26,22,0.8461538461538461,25,1,0.88,0.0,0.88
simplify,172,19,18,0.9473684210526315,7,12,1.0,0.9166666666666666,0.08333333333333337
simplify,49,26,25,0.9615384615384616,23,3,1.0,0.6666666666666666,0.33333333333333337
simplify,291,26,20,0.7692307692307693,24,2,0.7916666666666666,0.5,0.29166666666666663
simplify,348,29,25,0.8620689655172413,26,3,0.9230769230769231,0.3333333333333333,0.5897435897435899
simplify,150,25,2,0.08,16,9,0.0625,0.1111111111111111,-0.048611111111111105
simplify,185,26,24,0.9230769230769231,6,20,0.6666666666666666,1.0,-0.33333333333333337
simplify,214,24,1,0.041666666666666664,11,13,0.0,0.07692307692307693,-0.07692307692307693
simplify,279,20,7,0.35,10,10,0.5,0.2,0.3
simplify,226,29,21,0.7241379310344828,7,22,0.7142857142857143,0.7272727272727273,-0.012987012987012991
simplify,68,27,17,0.6296296296296297,14,13,0.7857142857142857,0.46153846153846156,0.32417582417582413
simplify,195,25,23,0.92,23,2,1.0,0.0,1.0
simplify,92,26,2,0.07692307692307693,21,5,0.09523809523809523,0.0,0.09523809523809523
simplify,224,6,2,0.3333333333333333,5,1,0.4,0.0,0.4
simplify,52,30,26,0.8666666666666667,29,1,0.896551724137931,0.0,0.896551724137931
